"Cluster","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"EC","GO:0098754","detoxification","12/288","166/18860",0.072289156626506,4.73393574297189,6.01722153896817,9.63105755964486e-06,0.00108861047478861,0.000888021524331728,"3240/1356/9588/6649/2876/217/5052/5581/6648/128/847/2098",12
"EC","GO:0032535","regulation of cellular component size","18/288","361/18860",0.0498614958448753,3.26523545706371,5.41151743846532,1.20548786594733e-05,0.00132128776094893,0.00107782535510378,"11151/81553/120/7430/8440/11034/5048/1291/5581/4478/3320/23580/5217/822/8301/25959/88/85477",18
"EC","GO:0016050","vesicle organization","19/288","401/18860",0.0473815461346633,3.1028331947908,5.30028426241135,1.41441128401784e-05,0.00150468400420368,0.00122742873966006,"11151/302/301/9146/10015/51534/6281/5798/6812/8867/91782/5048/22895/8120/8943/8301/1742/26052/399687",19
"EC","GO:0031647","regulation of protein stability","19/288","404/18860",0.047029702970297,3.07979235423542,5.26220915405631,1.56918146805491e-05,0.00160933783366678,0.00131279890219227,"9531/7532/1191/1457/7874/8613/6812/5594/3320/10598/5217/811/3303/3304/8575/5300/7534/8774/3326",19
"EC","GO:0060020","Bergmann glial cell differentiation","4/288","11/18860",0.363636363636364,23.8131313131313,9.42460858075179,1.6149894876702e-05,0.00160933783366678,0.00131279890219227,"7431/8613/5594/9283",4
"EC","GO:2001233","regulation of apoptotic signaling pathway","19/288","406/18860",0.0467980295566502,3.06462096332786,5.23702115168742,1.68063503656049e-05,0.00160933783366678,0.00131279890219227,"3958/3315/8440/1191/7164/2876/1457/2244/7178/2243/2266/2247/3685/23788/6648/3303/3304/8575/5518",19
"EC","GO:0000302","response to reactive oxygen species","13/288","205/18860",0.0634146341463415,4.15277777777778,5.65195767876746,1.69076134031898e-05,0.00160933783366678,0.00131279890219227,"824/3240/6649/2876/7168/84557/5798/5052/1291/6648/6416/847/9283",13
"EC","GO:0009636","response to toxic substance","15/288","270/18860",0.0555555555555556,3.63811728395062,5.43703993740721,1.85847840767724e-05,0.00172361958988938,0.00140602293568672,"3240/1356/9588/6649/2876/23256/217/5052/1291/5581/6648/128/847/4357/2098",15
"EC","GO:0030865","cortical cytoskeleton organization","7/288","55/18860",0.127272727272727,8.33459595959596,6.78339500683841,1.95128942948303e-05,0.00176445346661003,0.00143933270285288,"3936/23136/7430/10015/5048/9475/811",7
"EC","GO:0061045","negative regulation of wound healing","8/288","77/18860",0.103896103896104,6.8037518037518,6.35474241785063,2.26695487198e-05,0.00199989652974431,0.00163139268450833,"325/302/710/2244/2243/2266/2247/23332",8
"EC","GO:0006163","purine nucleotide metabolic process","20/288","454/18860",0.0440528634361234,2.88485070974058,5.06234118341085,2.40374904197212e-05,0.00207008578209837,0.00168864876306964,"2766/4705/2203/29789/10606/55739/4709/318/1291/57103/9555/10059/23788/55753/3303/3304/23475/51181/5224/5226",20
